beam_id,type,Designation,Depth,Area,I_xx,I_yy,material,E,Yield_Stress,Density,Cost_Per_m,env_suitability
16,C,C150x18,0.15,0.0023,6.50E-06,7.20E-07,Steel,2E+11,345000000,7850,19.8605,['Indoor']
17,C,C200x25,0.2,0.0032,1.40E-05,1.40E-06,Steel,2E+11,345000000,7850,27.632,['Indoor']
18,C,C250x30,0.25,0.0039,2.68E-05,2.60E-06,Steel,2E+11,345000000,7850,33.6765,['Indoor']
19,C,C300x36,0.3,0.0047,4.65E-05,4.10E-06,Steel,2E+11,345000000,7850,40.5845,['Indoor']
20,C,C350x45,0.35,0.0059,7.80E-05,6.50E-06,Steel,2E+11,345000000,7850,50.9465,['Indoor']
21,L,L75x75x6,0.075,0.00085,4.20E-07,4.20E-07,Steel,2E+11,345000000,7850,7.33975,['Indoor']
22,L,L100x100x8,0.1,0.0016,1.60E-06,1.60E-06,Steel,2E+11,345000000,7850,13.816,['Indoor']
23,L,L125x125x8,0.125,0.0021,3.20E-06,3.20E-06,Steel,2E+11,345000000,7850,18.1335,['Indoor']
24,L,L150x150x10,0.15,0.0032,6.80E-06,6.80E-06,Steel,2E+11,345000000,7850,27.632,['Indoor']
25,L,L200x200x12,0.2,0.0052,1.65E-05,1.65E-05,Steel,2E+11,345000000,7850,44.902,['Indoor']
26,W,AL-W150x15,0.152,0.0019,6.20E-06,5.00E-05,6061-T6 Aluminum,69000000000,2.76E+08,2700,26.33,"['Indoor','Outdoor','Seismic']"
27,W,AL-W200x22,0.203,0.0028,1.80E-07,1.50E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,38.8,"['Indoor','Outdoor','Seismic']"
28,W,AL-250x30,0.254,0.0038,4.50E-07,3.40E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,52.65,"['Indoor','Outdoor','Seismic']"
29,HSS,AL-HSS150x100x6,0.15,0.0027,7.20E-06,2.40E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,37.37,"['Indoor','Outdoor','Seismic']"
30,HSS,AL-HSS200x150x8,0.2,0.0051,2.30E-07,1.00E-07,6061-T6 Aluminum,69000000000,2.76E+08,2700,70.59,"['Indoor','Outdoor','Seismic']"
31,HSS,AL-HSS300x200x10,0.3,0.0088,8.10E-07,3.80E-07,6061-T6 Aluminum,69000000000,2.76E+08,2700,121.68,"['Indoor','Outdoor','Seismic']"
32,CHS,AL-CHS114.3x6,0.114,0.0021,2.70E-06,2.70E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,29.05,"['Indoor','Outdoor','Seismic']"
33,CHS,AL-CHS168.3x8,0.1683,0.0039,8.80E-06,8.80E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,53.92,"['Indoor','Outdoor','Seismic']"
34,C,AL-C200x20,0.2,0.003,1.35E-07,1.30E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,41.49,"['Indoor','Outdoor','Seismic']"
35,L,AL-L150x150x10,0.15,0.0031,6.50E-06,6.50E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,42.91,"['Indoor','Outdoor','Seismic']"
36,W,AL-W180x18,0.18,0.0023,9.50E-06,7.20E-05,6061-T6 Aluminum,69000000000,2.76E+08,2700,31.95,"['Indoor','Outdoor','Seismic']"
37,W,AL-W220x24,0.22,0.0031,2.25E-07,1.90E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,43.03,"['Indoor','Outdoor','Seismic']"
38,W,AL-W300x40,0.3,0.0052,8.80E-07,6.20E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,72.02,"['Indoor','Outdoor','Seismic']"
39,HSS,AL-HSS120x80x6,0.12,0.0024,4.80E-06,1.50E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,33.26,"['Indoor','Outdoor','Seismic']"
40,HSS,AL-180x120x8,0.18,0.0046,1.75E-07,6.50E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,63.74,"['Indoor','Outdoor','Seismic']"
41,HSS,AL-250x150x10,0.25,0.0072,5.90E-07,2.10E-07,6061-T6 Aluminum,69000000000,2.76E+08,2700,99.77,"['Indoor','Outdoor','Seismic']"
42,CHS,AL-CHS88.9x6,0.0889,0.00156,1.05E-06,1.05E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,21.63,"['Indoor','Outdoor','Seismic']"
43,CHS,AL-CHS139.7x8,0.1397,0.0035,6.90E-06,6.90E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,48.55,"['Indoor','Outdoor','Seismic']"
44,CHS,AL-CHS219.1x10,0.2191,0.0063,2.30E-07,2.30E-07,6061-T6 Aluminum,69000000000,2.76E+08,2700,87.35,"['Indoor','Outdoor','Seismic']"
45,C,AL-C150x15,0.15,0.0022,5.80E-06,6.20E-05,6061-T6 Aluminum,69000000000,2.76E+08,2700,30.47,"['Indoor','Outdoor','Seismic']"
46,C,AL-C250x28,0.25,0.0039,2.40E-07,2.10E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,53.99,"['Indoor','Outdoor','Seismic']"
47,C,AL-C320x35,0.32,0.0054,6.70E-07,5.90E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,74.79,"['Indoor','Outdoor','Seismic']"
48,L,AL-L100x100x8,0.1,0.0016,1.55E-06,1.55E-06,6061-T6 Aluminum,69000000000,2.76E+08,2700,22.16,"['Indoor','Outdoor','Seismic']"
49,L,AL-L175x175x12,0.175,0.0048,1.20E-07,1.20E-07,6061-T6 Aluminum,69000000000,2.76E+08,2700,66.43,"['Indoor','Outdoor','Seismic']"
50,L,AL-L225x225x16,0.225,0.0082,4.20E-07,4.20E-07,6061-T6 Aluminum,69000000000,2.76E+08,2700,113.48,"['Indoor','Outdoor','Seismic']"
